stationID,startTime,endTime,inNums,outNums,,,inNums,outNums,,,,
0,2019/1/27 0:00,2019/1/27 0:10,0,0,,,0.116214371,0.139365709,,0.116214371,0.139365709,15.70941981
0,2019/1/27 0:10,2019/1/27 0:20,0,0,,,0,0.122350538,,0,0.122350538,
0,2019/1/27 0:20,2019/1/27 0:30,0,0.116646779,,,0,0.177058864,,0,0.060412085,
0,2019/1/27 0:30,2019/1/27 0:40,0,0.104205585,,,0,0,,0,0.104205585,
0,2019/1/27 0:40,2019/1/27 0:50,0,0,,,0.119607675,0.11090188,,0.119607675,0.11090188,
0,2019/1/27 0:50,2019/1/27 1:00,0,0,,,0,0,,0,0,
0,2019/1/27 1:00,2019/1/27 1:10,0,0,,,0,0,,0,0,
0,2019/1/27 1:10,2019/1/27 1:20,0,0,,,0,0,,0,0,
0,2019/1/27 1:20,2019/1/27 1:30,0,0,,,0.121435988,0.12089361,,0.121435988,0.12089361,
0,2019/1/27 1:30,2019/1/27 1:40,0,0,,,0,0,,0,0,
0,2019/1/27 1:40,2019/1/27 1:50,0,0,,,0,0,,0,0,
0,2019/1/27 1:50,2019/1/27 2:00,0,0,,,0,0,,0,0,
0,2019/1/27 2:00,2019/1/27 2:10,0,0,,,0.140336847,0.134719646,,0.140336847,0.134719646,
0,2019/1/27 2:10,2019/1/27 2:20,0,0,,,0,0,,0,0,
0,2019/1/27 2:20,2019/1/27 2:30,0,0,,,0,0,,0,0,
0,2019/1/27 2:30,2019/1/27 2:40,0,0,,,0,0,,0,0,
0,2019/1/27 2:40,2019/1/27 2:50,0,0,,,0.118899953,0.112470484,,0.118899953,0.112470484,
0,2019/1/27 2:50,2019/1/27 3:00,0,0,,,0,0,,0,0,
0,2019/1/27 3:00,2019/1/27 3:10,0,0,,,0,0,,0,0,
0,2019/1/27 3:10,2019/1/27 3:20,0,0,,,0,0,,0,0,
0,2019/1/27 3:20,2019/1/27 3:30,0,0,,,0.128900993,0.11705302,,0.128900993,0.11705302,
0,2019/1/27 3:30,2019/1/27 3:40,0,0,,,0,0,,0,0,
0,2019/1/27 3:40,2019/1/27 3:50,0,0,,,0,0,,0,0,
0,2019/1/27 3:50,2019/1/27 4:00,0.120284081,0,,,0,0,,0.120284081,0,
0,2019/1/27 4:00,2019/1/27 4:10,0,0,,,0,0.108590376,,0,0.108590376,
0,2019/1/27 4:10,2019/1/27 4:20,0,0,,,0,0,,0,0,
0,2019/1/27 4:20,2019/1/27 4:30,0,0,,,0,0,,0,0,
0,2019/1/27 4:30,2019/1/27 4:40,0.102261686,0,,,0,0,,0.102261686,0,
0,2019/1/27 4:40,2019/1/27 4:50,0,0,,,0,0.102420139,,0,0.102420139,
0,2019/1/27 4:50,2019/1/27 5:00,0,0,,,0,0,,0,0,
0,2019/1/27 5:00,2019/1/27 5:10,0,0,,,0,0,,0,0,
0,2019/1/27 5:10,2019/1/27 5:20,0,0,,,0,0,,0,0,
0,2019/1/27 5:20,2019/1/27 5:30,4.829525352,0,,,4.161420584,0.132835722,,0.668104768,0.132835722,
0,2019/1/27 5:30,2019/1/27 5:40,10.41330161,0,,,8.688413954,0,,1.724887657,0,
0,2019/1/27 5:40,2019/1/27 5:50,22.31166,0,,,20.03172092,0,,2.279939079,0,
0,2019/1/27 5:50,2019/1/27 6:00,28.14688663,1.153386593,,,23.0932415,0.883170986,,5.053645134,0.270215607,
0,2019/1/27 6:00,2019/1/27 6:10,39.3496891,0.297378445,,,30.19006424,1.159561479,,9.159624863,0.862183034,
0,2019/1/27 6:10,2019/1/27 6:20,42.90050507,1.137000036,,,31.71584435,0.855827343,,11.18466072,0.281172693,
0,2019/1/27 6:20,2019/1/27 6:30,47.239188,2.937206292,,,42.81988411,5.73274498,,4.419303894,2.795538688,
0,2019/1/27 6:30,2019/1/27 6:40,64.99401588,33.00000172,,,51.71152954,24.91377277,,13.28248634,8.086228943,
0,2019/1/27 6:40,2019/1/27 6:50,86.35697021,16.17825079,,,68.08997879,13.78209009,,18.26699142,2.396160698,
0,2019/1/27 6:50,2019/1/27 7:00,96.90196228,15.73499165,,,74.52276459,13.35795708,,22.37919769,2.377034569,
0,2019/1/27 7:00,2019/1/27 7:10,105.983654,19.58275728,,,96.88127747,17.8601326,,9.102376556,1.722624683,
0,2019/1/27 7:10,2019/1/27 7:20,127.426712,24.91952534,,,99.97655945,20.09465656,,27.45015259,4.824868774,
0,2019/1/27 7:20,2019/1/27 7:30,131.473391,28.98640499,,,107.7438469,23.72717152,,23.72954407,5.259233475,
0,2019/1/27 7:30,2019/1/27 7:40,129.5621941,29.70278091,,,104.199231,24.35033016,,25.3629631,5.352450752,
0,2019/1/27 7:40,2019/1/27 7:50,145.1461838,36.43945961,,,138.7614029,33.54566345,,6.384780884,2.893796158,
0,2019/1/27 7:50,2019/1/27 8:00,159.0558029,35.93169327,,,130.3048019,29.73624992,,28.75100098,6.195443344,
0,2019/1/27 8:00,2019/1/27 8:10,171.7117416,42.09573135,,,140.0564941,35.64470978,,31.6552475,6.451021576,
0,2019/1/27 8:10,2019/1/27 8:20,180.8067322,49.68275909,,,149.3442322,41.14037476,,31.4625,8.542384338,
0,2019/1/27 8:20,2019/1/27 8:30,201.2582153,49.41074562,,,195.5190994,47.08483009,,5.739115906,2.325915527,
0,2019/1/27 8:30,2019/1/27 8:40,202.5278839,52.75069962,,,168.7287186,43.0243206,,33.79916534,9.726379013,
0,2019/1/27 8:40,2019/1/27 8:50,199.5445114,68.10654602,,,162.6192627,54.80182114,,36.92524872,13.30472488,
0,2019/1/27 8:50,2019/1/27 9:00,194.5486053,65.82347679,,,155.4938019,53.74045029,,39.05480347,12.0830265,
0,2019/1/27 9:00,2019/1/27 9:10,196.4910995,66.83138199,,,181.3070358,62.86271362,,15.18406372,3.968668365,
0,2019/1/27 9:10,2019/1/27 9:20,204.9911194,67.55827408,,,164.1746613,55.97801208,,40.81645813,11.58026199,
